Group,pop_size,max_num_eva,min_adaptive_size,max_adaptive_size,max_gen_exam1,max_gen_exam2,Accuracy,Number_Selected_Features
1,15,1000,1,8,40,200,0.9596491228070174,16.5
2,7,1000,5,6,100,400,0.9631578947368421,15.0
3,5,1000,1,7,40,500,0.9517543859649124,17.0
4,14,1000,5,7,90,400,0.9578947368421054,15.5
5,8,2500,5,8,10,200,0.9657894736842106,15.5
6,11,2000,3,7,40,300,0.9614035087719298,14.5
7,6,1000,4,6,60,300,0.9570175438596491,16.5
8,14,2000,1,9,90,100,0.9657894736842106,17.5
9,11,1000,5,8,100,300,0.9464912280701755,14.0
10,14,1500,1,6,40,300,0.9649122807017545,18.0
11,6,1500,1,9,50,400,0.9587719298245615,16.5
12,15,2000,2,8,60,200,0.9333333333333333,15.0
13,15,2000,1,10,30,500,0.9614035087719298,16.5
14,8,1500,4,9,50,500,0.9631578947368421,17.0
15,8,2000,1,7,10,300,0.9631578947368421,17.5
16,11,2000,1,7,100,300,0.9640350877192982,17.0
17,8,2500,4,9,30,300,0.9640350877192982,15.0
18,7,1500,5,10,50,500,0.9649122807017545,17.0
19,11,2500,3,7,30,500,0.9640350877192982,15.0
20,12,1000,1,6,30,200,0.956140350877193,15.5
21,15,2500,5,6,70,400,0.9649122807017545,16.0
22,14,2500,5,8,90,100,0.9614035087719298,15.5
23,15,1000,5,8,60,100,0.9298245614035088,14.0
24,9,2500,2,9,10,300,0.9657894736842106,16.0
25,13,1500,5,6,50,500,0.9570175438596491,15.5
26,14,1500,2,8,30,500,0.962280701754386,15.5
27,13,1000,5,8,80,100,0.9649122807017545,17.5
28,6,2000,3,7,10,200,0.9596491228070174,16.0
29,14,1000,1,9,20,500,0.9666666666666666,17.0
30,7,1500,4,10,30,300,0.9631578947368421,17.0
31,13,2500,2,10,40,300,0.9596491228070174,16.0
32,11,2000,4,10,80,100,0.9596491228070174,15.5
33,8,1500,1,8,10,500,0.9605263157894737,16.5
34,13,1500,5,7,10,100,0.9596491228070174,16.0
35,15,1000,2,6,10,300,0.9605263157894737,15.5
36,6,1500,3,9,40,500,0.9640350877192982,16.0
37,7,2500,2,9,70,200,0.9614035087719298,18.5
38,6,1000,4,8,70,400,0.9640350877192982,18.0
39,12,1000,1,6,70,300,0.9596491228070174,14.5
40,6,1500,2,7,90,400,0.9640350877192982,16.5
41,7,2500,2,8,80,200,0.9614035087719298,16.5
42,6,2500,5,6,10,500,0.9587719298245615,15.0
43,5,1000,2,7,70,400,0.9631578947368421,15.5
44,12,1500,4,6,30,400,0.9570175438596491,17.0
45,5,2500,3,9,50,400,0.9578947368421054,17.0
46,13,2500,2,7,50,200,0.9640350877192982,16.5
47,5,1000,3,6,10,500,0.9614035087719298,15.5
48,12,1500,1,10,20,200,0.9359649122807017,14.5
49,6,1000,2,9,20,500,0.9614035087719298,15.5
50,8,1000,5,6,70,500,0.968421052631579,17.0
51,14,2000,3,7,60,200,0.9649122807017545,14.5
52,9,2500,2,8,80,300,0.9640350877192982,18.5
53,6,1000,4,10,100,100,0.9421052631578947,15.5
54,6,1500,5,8,30,300,0.9614035087719298,18.0
55,6,1500,3,8,30,400,0.9605263157894737,17.0
56,13,2000,5,10,10,500,0.9605263157894737,17.5
57,9,1000,2,8,20,100,0.9605263157894737,15.5
58,13,1500,3,8,100,200,0.9666666666666666,16.5
59,10,1500,3,10,80,300,0.9649122807017545,15.0
60,5,1000,4,8,10,100,0.9464912280701755,18.0
61,10,1500,3,7,80,500,0.9596491228070174,18.0
62,11,1000,1,6,30,500,0.9570175438596491,16.0
63,5,2000,5,10,30,400,0.9666666666666666,16.5
64,7,1000,3,8,10,300,0.9631578947368421,15.0
65,8,1500,1,8,90,400,0.9631578947368421,16.0
66,14,1500,2,7,30,400,0.9614035087719298,17.0
67,5,1500,3,9,40,300,0.9614035087719298,19.0
68,7,1000,4,6,80,200,0.9535087719298245,14.0
69,8,2500,3,8,40,200,0.9675438596491228,17.5
70,5,1500,4,8,50,100,0.9596491228070174,15.5
71,9,2000,5,9,90,300,0.9482456140350877,18.5
72,5,1000,3,7,100,300,0.9578947368421054,16.0
73,5,1000,5,9,60,300,0.9657894736842106,18.0
74,11,1000,4,10,40,300,0.9578947368421054,16.0
75,5,2500,1,10,90,200,0.9587719298245615,16.5
76,10,2500,1,8,100,300,0.9657894736842106,15.5
77,15,1000,3,10,50,400,0.9666666666666666,17.0
78,10,2500,3,10,30,200,0.962280701754386,18.0
79,11,2500,2,10,100,300,0.962280701754386,18.5
80,11,1000,3,8,40,400,0.9596491228070174,15.5
81,14,2000,4,9,80,200,0.9640350877192982,14.5
82,13,2500,2,6,50,500,0.9614035087719298,17.5
83,15,2000,1,7,50,200,0.9535087719298245,20.0
84,8,1500,1,6,40,400,0.9649122807017545,16.0
85,14,1000,4,9,100,200,0.9631578947368421,15.5
86,11,2500,4,7,30,100,0.956140350877193,14.0
87,6,2500,2,7,90,400,0.9596491228070174,16.5
